,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
659,2022-07-10,Films (Non-English),10,Bhool Bhulaiyaa 2,,1850000,4,tm1227853,MOVIE,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",2022.0,,142.0,"['horror', 'comedy']",['IN'],,tt6455162,5.9,27244.0
660,2022-07-10,TV (English),1,Stranger Things,Stranger Things 4,188190000,7,ts38796,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5.0,tt4574334,8.7,1101055.0
661,2022-07-10,TV (English),2,Stranger Things,,45220000,8,ts38796,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5.0,tt4574334,8.7,1101055.0
662,2022-07-10,TV (English),3,The Umbrella Academy,The Umbrella Academy: Season 3,43840000,3,ts76645,SHOW,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",2019.0,TV-14,50.0,"['comedy', 'drama', 'fantasy', 'scifi', 'action']",['US'],3.0,tt1312171,8.0,230211.0
663,2022-07-10,TV (English),4,Stranger Things,Stranger Things 2,41110000,7,ts38796,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5.0,tt4574334,8.7,1101055.0
664,2022-07-10,TV (English),5,Stranger Things,Stranger Things 3,36590000,7,ts38796,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],5.0,tt4574334,8.7,1101055.0
665,2022-07-10,TV (English),6,Manifest,Manifest: Season 1,28360000,10,ts81294,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],4.0,tt8421350,7.1,53185.0
666,2022-07-10,TV (English),7,The Umbrella Academy,The Umbrella Academy: Season 1,18180000,3,ts76645,SHOW,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",2019.0,TV-14,50.0,"['comedy', 'drama', 'fantasy', 'scifi', 'action']",['US'],3.0,tt1312171,8.0,230211.0
667,2022-07-10,TV (English),8,The Umbrella Academy,The Umbrella Academy: Season 2,14230000,2,ts76645,SHOW,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",2019.0,TV-14,50.0,"['comedy', 'drama', 'fantasy', 'scifi', 'action']",['US'],3.0,tt1312171,8.0,230211.0
668,2022-07-10,TV (English),9,Peaky Blinders,Peaky Blinders: Season 6,13060000,5,ts20110,SHOW,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013.0,TV-MA,58.0,"['crime', 'drama', 'european']",['GB'],6.0,tt2442560,8.8,511668.0
669,2022-07-10,TV (English),10,Alone,Alone: Season 8,11440000,1,ts37143,SHOW,"Hardcore survivalists are put by themselves in the Vancouver Island wilderness, without camera crews, teams, or producers – on a single mission to stay alive for as long as possible.",2015.0,TV-MA,51.0,"['reality', 'documentation']",['US'],9.0,tt4803766,8.4,5037.0
